Jurisdiction_ID,Jurisdiction_ID2,Jurisdiction_ID3,Jurisdiction_ID4,Jurisdiction_ID5,Jurisdiction_ID6
D156,,,,,
D646,,,,,
D646,,,,,
D646,,,,,
D646,,,,,
D646,,,,,
P017,P023,P042,P043,P083,
D573,,,,,
D573,,,,,
P083,,,,,
D186,,,,,
D255,,,,,
D116,,,,,
D166,,,,,
D166,,,,,
D140,,,,,
P047,,,,,
D058,,,,,
D058,,,,,
D116,,,,,
D116,,,,,
D116,,,,,
D260,,,,,
D260,,,,,
D260,,,,,
D260,,,,,
D175,,,,,
D175,,,,,
D175,,,,,
D175,,,,,
D255,,,,,
D019,,,,,
D019,,,,,
D260,,,,,
D240,,,,,
D140,,,,,
D018,,,,,
P020,,,,,
P003,P006,P027,P050,P089,
P070,,,,,
P065,,,,,
D375,,,,,
P003,P006,P008,P027,P050,
P070,,,,,
P050,,,,,
P008,P014,P050,,,
D540,,,,,
D216,,,,,
P050,,,,,
P006,,,,,
P003,P006,P050,,,
P070,,,,,
P050,,,,,
P070,,,,,
P089,P050,P006,P003,,
P006,,,,,
P015,P050,P014,,,
P014,,,,,
P050,,,,,
P043,,,,,
P043,,,,,
P014,,,,,
P042,,,,,
P061,,,,,
P006,,,,,
P061,,,,,
P065,,,,,
P061,,,,,
D430,,,,,
D699,,,,,
D699,,,,,
D699,,,,,
D143,,,,,
P078,,,,,
D295,,,,,
D216,,,,,
P095,,,,,
D457,,,,,
P070,,,,,
P050,,,,,
P053,P019,P079,D292,D283,
D140,,,,,
D461,,,,,
D699,,,,,
D459,,,,,
P078,,,,,
P078,,,,,
P078,,,,,
P005,,,,,
P006,,,,,
P052,,,,,
P052,,,,,
D662,,,,,
P081,,,,,
P081,,,,,
P081,,,,,
P081,,,,,
P081,,,,,
P017,,,,,
P062,P032,P067,P057,,
P032,,,,,
D639,,,,,
P042,,,,,
D538,,,,,
P039,,,,,
P026,,,,,
P027,,,,,
P032,,,,,
D538,,,,,
P039,,,,,
D441,,,,,
D441,,,,,
D441,,,,,
D442,,,,,
P032,,,,,
P032,,,,,
P032,,,,,
P032,,,,,
P032,,,,,
P032,,,,,
D608,,,,,
P042,,,,,
P050,,,,,
P065,,,,,
P039,,,,,
P065,,,,,
P070,,,,,
P070,,,,,
D195,,,,,
P061,,,,,
D498,,,,,
D498,,,,,
P077,,,,,
P077,,,,,
P077,,,,,
P077,,,,,
P077,,,,,
P077,,,,,
P077,,,,,
P077,,,,,
P077,,,,,
P077,,,,,
P077,,,,,
P077,,,,,
D447,,,,,
P069,P078,D660,D661,D662,
P077,,,,,
P077,,,,,
P077,,,,,
P077,,,,,
P077,,,,,
P077,,,,,
P077,,,,,
D454,,,,,
D608,,,,,
D436,,,,,
D384,,,,,
D441,,,,,
D388,,,,,
D458,,,,,
D543,,,,,
D543,,,,,
D543,,,,,
D430,,,,,
D430,,,,,
D430,,,,,
D430,,,,,
D430,,,,,
D430,,,,,
D430,,,,,
D430,,,,,
D573,,,,,
P083,,,,,
P083,,,,,
D127,,,,,
D643,,,,,
D643,,,,,
D643,,,,,
D643,,,,,
D643,,,,,
D643,,,,,
D643,,,,,
D643,,,,,
D643,,,,,
D643,,,,,
D643,,,,,
D646,,,,,
D646,,,,,
D646,,,,,
D646,,,,,
D646,,,,,
D646,,,,,
D646,,,,,
D646,,,,,
D646,,,,,
D613,,,,,
D613,,,,,
D613,,,,,
D613,,,,,
D613,,,,,
D641,,,,,
D641,,,,,
D641,,,,,
D641,,,,,
D641,,,,,
D641,,,,,
D641,,,,,
D641,,,,,
D641,,,,,
D116,,,,,
D116,,,,,
D116,,,,,
D116,,,,,
D116,,,,,
D116,,,,,
D116,,,,,
D116,,,,,
P052,,,,,
P052,,,,,
D539,,,,,
D166,,,,,
D166,,,,,
D096,,,,,
D465,,,,,
P083,,,,,
D562,,,,,
D562,,,,,
D562,,,,,
D562,,,,,
P043,,,,,
D538,,,,,
P042,D578,,,,
D541,,,,,
D570,,,,,
D388,,,,,
D388,,,,,
D388,,,,,
D388,,,,,
D538,,,,,
D538,,,,,
D559,,,,,
D302,,,,,
P069,,,,,
D538,,,,,
D538,,,,,
D538,,,,,
P007,,,,,
P007,,,,,
P007,,,,,
D216,,,,,
D156,,,,,
P091,,,,,
P014,,,,,
D140,,,,,
D538,,,,,
D538,,,,,
D538,,,,,
D430,,,,,
D696,,,,,
D700,,,,,
